,wg_1_w,wg_1_p_1_x,wg_1_p_1_y,wg_1_p_2_x,wg_1_p_2_y,wg_1_p_3_x,wg_1_p_3_y,wg_1_p_4_x,wg_1_p_4_y,wg_2_w,wg_2_p_1_x,wg_2_p_1_y,wg_2_p_2_x,wg_2_p_2_y,wg_2_p_3_x,wg_2_p_3_y,wg_2_p_4_x,wg_2_p_4_y
te1_1.45,,,-0.038064848642586864,-0.12510211475133196,-0.038064848642586864,0.11152666040924722,0.014070939019565652,,0.014070939019565652,,,-0.013143998645697425,-0.04126111442256803,-0.013143998645697425,-0.0667322637892449,-0.008904291407235788,,-0.008904291407235788
te1_1.454,,,-0.03705818791472085,-0.12406694533198256,-0.03705818791472085,0.11030362364359278,0.013761735480083552,,0.013761735480083552,,,-0.01413037651056906,-0.04229621356054184,-0.01413037651056906,-0.06680114274100314,-0.008734890262307754,,-0.008734890262307754
te1_1.458,,,-0.03666975544824395,-0.12222129081273658,-0.03666975544824395,0.10851033891694713,0.013738041554904795,,0.013738041554904795,,,-0.013746077150563727,-0.04283838061226484,-0.013746077150563727,-0.06603012558196864,-0.009992809405063325,,-0.009992809405063325
te1_1.462,,,-0.03614617333924327,-0.1207095103135682,-0.03614617333924327,0.10667778545094464,0.013465795964355633,,0.013465795964355633,,,-0.013560150887061253,-0.043522090528343334,-0.013560150887061253,-0.06470968770603956,-0.01095955590656069,,-0.01095955590656069
te1_1.466,,,-0.0358538175116126,-0.11968235981800576,-0.0358538175116126,0.10481109985621631,0.012893750785624991,,0.012893750785624991,,,-0.013463027227045248,-0.04419144274679659,-0.013463027227045248,-0.06285104028719547,-0.01173828739842833,,-0.01173828739842833
te1_1.47,,,-0.03587261241190726,-0.11886231324002826,-0.03587261241190726,0.10269658482577006,0.012145165703451782,,0.012145165703451782,,,-0.013276259715095289,-0.044815544060720185,-0.013276259715095289,-0.06062727154000904,-0.012396932210033606,,-0.012396932210033606
te1_1.474,,,-0.035953923251938295,-0.11788260124312654,-0.035953923251938295,0.10017257733710588,0.011428321079042283,,0.011428321079042283,,,-0.01273168542702741,-0.04532539695160368,-0.01273168542702741,-0.05847799258278525,-0.012933271091579256,,-0.012933271091579256
te1_1.478,,,-0.03575304593340026,-0.11659271653187733,-0.03575304593340026,0.09740632497405403,0.010768219071367343,,0.010768219071367343,,,-0.011672618214626493,-0.045616240160719274,-0.011672618214626493,-0.05667537624364987,-0.013373492188447394,,-0.013373492188447394
te1_1.482,,,-0.035061714734207286,-0.11512389426368491,-0.035061714734207286,0.09484463298746526,0.010005077797369422,,0.010005077797369422,,,-0.010351975278130176,-0.04577542344105112,-0.010351975278130176,-0.055104338979648615,-0.013640384956391147,,-0.013640384956391147
te1_1.486,,,-0.0340367062880222,-0.11370086994601296,-0.0340367062880222,0.09261116880634432,0.009125123600602485,,0.009125123600602485,,,-0.009129170528952504,-0.04587390892073377,-0.009129170528952504,-0.05368873670425458,-0.013561455093829226,,-0.013561455093829226
te1_1.49,,,-0.0328767887880874,-0.11239973444180044,-0.0328767887880874,0.09032067569890392,0.008262714907998648,,0.008262714907998648,,,-0.008382124832503397,-0.04590954838398805,-0.008382124832503397,-0.05256621251625359,-0.0128430170814402,,-0.0128430170814402
te1_1.494,,,-0.03157263675059495,-0.11115206392239947,-0.03157263675059495,0.08789023700750104,0.007526521942525381,,0.007526521942525381,,,-0.008355516819866605,-0.04605321555096523,-0.008355516819866605,-0.0518109052268179,-0.011442124760082844,,-0.011442124760082844
te1_1.498,,,-0.030452023156563,-0.11039317223564743,-0.030452023156563,0.08709680142558002,0.007449708947574828,,0.007449708947574828,,,-0.008838619260037761,-0.04607138730709898,-0.008838619260037761,-0.05182560309850164,-0.010441538659337465,,-0.010441538659337465
te1_1.502,,,-0.029753617809389635,-0.11036982883854882,-0.029753617809389635,0.0887070567001,0.00825996555650433,,0.00825996555650433,,,-0.009477784517979081,-0.045863107889231085,-0.009477784517979081,-0.052698840413308086,-0.01039413206338135,,-0.01039413206338135
te1_1.506,,,-0.029187827108346935,-0.11044634967506696,-0.029187827108346935,0.09058778814615709,0.009287450570574982,,0.009287450570574982,,,-0.009930203004860663,-0.04587408960265308,-0.009930203004860663,-0.05359650104825965,-0.010412822734599092,,-0.010412822734599092
te1_1.51,,,-0.028832087297665957,-0.1103442563675691,-0.028832087297665957,0.09215214619140953,0.01038515395578026,,0.01038515395578026,,,-0.009681583996777083,-0.04571705716515966,-0.009681583996777083,-0.05417959396078556,-0.010747745791674321,,-0.010747745791674321
te1_1.514,,,-0.028731809709553385,-0.1097499184317685,-0.028731809709553385,0.09312452707841938,0.011617047889254573,,0.011617047889254573,,,-0.008445649467177038,-0.045288541070460236,-0.008445649467177038,-0.05440546312082586,-0.011687682443229779,,-0.011687682443229779
te1_1.518,,,-0.028645042994943117,-0.10904658951754904,-0.028645042994943117,0.09361952880405347,0.012891570192525173,,0.012891570192525173,,,-0.006740212553541363,-0.04510366687068842,-0.006740212553541363,-0.05441228807953108,-0.012662878768368703,,-0.012662878768368703
te1_1.522,,,-0.028456974034003154,-0.10875789551900497,-0.028456974034003154,0.09376741223028173,0.01414548873623586,,0.01414548873623586,,,-0.0051028010830341175,-0.04549097064439657,-0.0051028010830341175,-0.05428975468345959,-0.013121263604700078,,-0.013121263604700078
te1_1.526,,,-0.028241182494382285,-0.1088187170575019,-0.028241182494382285,0.09334502120113793,0.015386981853319966,,0.015386981853319966,,,-0.0036555146614080055,-0.0463326720933139,-0.0036555146614080055,-0.05407206853043768,-0.013028136058061178,,-0.013028136058061178
te1_1.53,,,-0.027936842894288397,-0.10869775959596498,-0.027936842894288397,0.09185866110325182,0.01640976367469685,,0.01640976367469685,,,-0.0023045272588542477,-0.047332831277998325,-0.0023045272588542477,-0.053734080223930426,-0.012602683957836706,,-0.012602683957836706
te1_1.534,,,-0.02722502347175015,-0.107655519848574,-0.02722502347175015,0.08851574890752452,0.016751236447321502,,0.016751236447321502,,,-0.001195901101873308,-0.048268442815345265,-0.001195901101873308,-0.05302763080484408,-0.01165978659490767,,-0.01165978659490767
te1_1.538,,,-0.025618456007359847,-0.1047641930462581,-0.025618456007359847,0.08199284581643128,0.015823629855168293,,0.015823629855168293,,,-0.0009264216816669806,-0.04922221074138253,-0.0009264216816669806,-0.05133436095633627,-0.009116903031570934,,-0.009116903031570934
te1_1.542,,,-0.025227756293834103,-0.10458261600708202,-0.025227756293834103,0.08395529826293509,0.017457874995329314,,0.017457874995329314,,,-0.0007960453284491499,-0.04697960975090921,-0.0007960453284491499,-0.05211354316220603,-0.010625545378538092,,-0.010625545378538092
te1_1.546,,,-0.024482308618220528,-0.10411954268329358,-0.024482308618220528,0.08596163528348404,0.018769468198918383,,0.018769468198918383,,,-0.0010421620986334102,-0.04442029653689515,-0.0010421620986334102,-0.05256124385833729,-0.01181004096250812,,-0.01181004096250812
te1_1.55,,,-0.023367273197751264,-0.103532932776995,-0.023367273197751264,0.08682847408645711,0.019347400004660138,,0.019347400004660138,,,-0.0014135988368070083,-0.04245614954856001,-0.0014135988368070083,-0.05240997961636084,-0.012105578200189183,,-0.012105578200189183
te1_1.554,,,-0.022125760982314106,-0.1033437846752131,-0.022125760982314106,0.08738925465114653,0.01954238021990357,,0.01954238021990357,,,-0.0017131237057501285,-0.041037012384609155,-0.0017131237057501285,-0.052006542812955345,-0.012077155391270172,,-0.012077155391270172
te1_1.558,,,-0.02077901760953081,-0.10352887190008304,-0.02077901760953081,0.08789037589294867,0.01951387711133797,,0.01951387711133797,,,-0.00195513198453991,-0.04011605098827236,-0.00195513198453991,-0.05152525681444795,-0.011891501729499447,,-0.011891501729499447
